target,codex_group,page_ref,errata_version_or_date,action,matched_stable_key,matched_source_id_or_name,status,errata_applied,change_summary,errata_text
Table of Contents,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,,v1.3.0,Added,,,manual_review,False,No matching record found.,"The final two items on this list should read:
Hex Key...219-223
Mark List...225-227"
Outcome 017,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,6,v1.2.2,Added,outcomes-017,017,manual_review,False,Instruction requires manual review or source text could not be matched safely.,FAQ: Resolving this entry (and being hurled out of the hex) ends the encounter.
Outcome 029,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,8,v1.3.0,Corrected,outcomes-029,029,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The third test's ""1-13"" result should read ""You are unable to make any progress. If all characters resolve this result, the venture fails unless a character spends <energy><energy> or <lore> to attempt this test again."""
Outcome 073,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,12,v1.2.0,Added,outcomes-073,073,applied,True,Replaced option C).,"The ""C"" option should read ""C) Slide down with practiced ease: If you have this behemoth's mark, gain 1 of the behemoth's curio, then end the encounter. The behemoth flees."""
Outcome 080,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,12,v1.0.0,Added,outcomes-080,080,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The final sentence of the third paragraph of mechanics text should read: ""If a wake would be placed in a zone with an overlay this way, remove the overlay and replace it with a shattered wake."""
Outcome 193,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,23,v1.0.0,Added,outcomes-193,193,applied,True,Replaced option E).,"The E) option should read ""E) The land itself is transformed: Add JR01-03 to the Journey deck."""
Outcome 193,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,23,v1.0.0,Added,outcomes-193,193,applied,True,Appended errata sentence/text.,"At the end of this entry, a sentence should exist that reads: ""Living coral appears as a bonus object on these new Foraging cards."""
Outcome 209,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,26,v1.0.0,Added,outcomes-209,209,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"In option B, Step 3 should begin ""If it is Epoch 1 (or you are playing Endless Mode) and there are 1 or more unplaced glacier overlays, roll 1d6 and place glaciers as follows:"""
Outcome 209,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,26,v1.2.0,Added,outcomes-209,209,applied,True,Appended errata sentence/text.,"In option B), a ""Step 4"" should exist that reads: ""Step 4: Shuffle JS01-06 into the Journey deck and NP01-03 into the Night deck, if able."""
Outcome 227,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,29,v1.0.0,Added,outcomes-227,227,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Step 2 should begin ""Place all unplaced hexes..."""
Outcome 227,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,29,v1.0.1,Added,outcomes-227,227,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Step 3 should begin ""If it is Epoch 1 (or you are playing Endless Mode) and there are 1 or more unplaced glacier overlays, roll 1d6 and place glaciers as follows:"""
Outcome 227,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,29,v1.0.0,Added,outcomes-227,227,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Additionally, this entry's final line refers to Journey card The Brightest of Sparks as ""(JD09)"". Its correct ID is  ""(JU03)""."
Outcome 237,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,31,v1.0.0,Added,outcomes-237,237,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"This entry should not begin with the sentence ""At the end of any day, you may end this challenge."" It should begin with the next sentence, starting ""As a group..."""
Outcome 239,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,31,v1.0.0,Added,outcomes-239,239,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"This outcome's final line refers to Journey card Mouth of the Underworld as ""(JG02)"". Its correct ID is ""(JU10)""."
Outcome 276,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,33,v1.0.0,Added,outcomes-276,276,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"This entry's final line refers to Journey card Predator's Reign as ""(JE02)"". Its correct ID is ""(JU06)""."
Outcome 283,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,34,v1.0.1,Added,outcomes-283,283,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Step 3 should begin ""If it is Epoch 1 (or you are playing Endless Mode) and there are 1 or more unplaced glacier overlays, roll 1d6 and place glaciers as follows:"""
Outcome 292,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,35,v1.3.0,Added,outcomes-292,292,applied,True,Appended errata sentence/text.,"A first sentence of this outcome should exist that reads:
""If <unrest> is 6 or lower, it becomes 7."""
Outcome 299,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,36,v1.2.0,Added,outcomes-299,299,applied,True,Appended errata sentence/text.,"In option B), the following sentence should exist that reads:
""Add Beneath the Canopy (CN01) to your looming challenges.""
In option B), a ""Step 4"" should exist that reads: ""Step 4: Shuffle JT01-06 into the Journey deck and NT01-03 into the Night deck, if able."""
Outcome 302,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,37,,,outcomes-302,302,applied,True,Replaced option F).,"The ""F)"" option should read ""F) Find answers in the past: If there is a ruin in the valley, gain the Scavenging (KN12) Knowledge card and add Hidden Treasures (GZ30) and Restore a Ruin (GZ22) to your goals."""
Outcome 309,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,38,v1.0.0,Added,outcomes-309,309,applied,True,Appended errata sentence/text.,"At the end of this entry, a sentence should exist that reads: ""At the end of any day, you may end this challenge."""
Outcome 339,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,41,v1.3.0,Added,outcomes-339,339,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Step 2 should read ""From the swirling dust, a behemoth strides forth. If one or more behemoths do not have a lair overlay in the valley, choose one of those behemoths, selecting one of those behemoths with its mark on the primal cave wall, if able. That behemoth arrives, as described in Behemoth Arrival on Rulebook p.74."
Outcome 339,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,42,v1.0.1,Added,outcomes-339,339,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Step 3 should begin ""If it is Epoch 1 (or you are playing Endless Mode) and there are 1 or more unplaced glacier overlays, roll 1d6 and place glaciers as follows:"""
Outcome 342,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,42,v1.3.0,Corrected,outcomes-342,342,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"This entry should begin with ""Gain the Cooking (KY01) Knowledge card."""
Outcome 348,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,42,v1.0.0,Added,outcomes-348,348,applied,True,Appended errata sentence/text.,"At the end of this entry, a sentence should exist that reads: ""Living coral appears as a bonus object on these new Foraging cards."""
Outcome 428/429,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,50-51,v1.3.0,Added,outcomes-429,429,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The outcome labelled ""429"" should be labelled ""428."""
Outcome 439,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,52,v1.2.1,Corrected,outcomes-439,439,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"In the first test's 1-10 result and again the second test's 1-12 result, the text ""flip the possible exit to an examined exit (<major_boost>)"" should instead read ""place a failed egress (<minor_boost>) in this hex."""
Outcome 439,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,52,v1.3.0,Added,outcomes-439,439,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"In the third test, the ""1-12"" result should have a sentence between the first and second reading ""Your character perishes and becomes a Legend."""
Outcome 482,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,56,v1.0.0,Added,outcomes-482,482,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"This entry's third sentence should read ""Add Fireside Grumbles (NN01) to the Night deck, if able."""
Outcome 622,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,71,v1.3.0,Added,outcomes-622,622,applied,True,Appended errata sentence/text.,"A final sentence of this outcome should exist, reading:
""Complete Investigate the Scar (GC05)."""
Outcome 640,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,72,v1.2.0,Added,outcomes-640,640,applied,True,Appended errata sentence/text.,"After the first sentence of this outcome's mechanics text, a second sentence should exist that reads: ""Your society gains the Crossing Glaciers (KN14) Knowledge card."""
Outcome 686,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,75,v1.3.2,Updated,outcomes-686,686,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"In the 2nd test, it reads ""...+2 if they have <dig>, and if they are resourceful."" It should instead read ""...+2 if they have <dig>, and +2 if they are resourceful."""
Outcome 699,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,78,v1.0.0,Added,outcomes-699,699,applied,True,Appended errata sentence/text.,"In the third test's ""1-9"" result, after the second sentence, a sentence should exist that reads ""Another character on the venture must attempt this test."""
Outcome 704,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,79,v1.0.0,Added,outcomes-704,704,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The second sentence of the third test's ""14+"" result should read ""Complete this venture and restore the ruin to an outpost."""
Outcome 744,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,85,v1.0.0,Added,outcomes-744,744,applied,True,Prepended errata sentence/text.,"At the start of this entry's mechanics text, a sentence should exist that reads ""Resolve the first you are able:"""
Outcome 744,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,85,v1.2.1,Corrected,outcomes-744,744,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"Step 3 should begin ""If it is Epoch 1 (or you are playing Endless Mode) and there are 1 or more unplaced glacier overlays, roll 1d6 and place glaciers as follows:"""
Outcome 785,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,89,v1.0.0,Added,outcomes-785,785,applied,True,Appended errata sentence/text.,"In the third step's ""Lose (lower)"" result, after the second sentence, a sentence should exist that reads ""Another character on the venture must attempt this test."""
Outcome 815,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,91,v1.0.1,Added,outcomes-815,815,applied,True,Replaced option B).,"The B) option should read: ""<b>B) Think better of it and offer a safer token:</b> If you have a processed material or an item in your inventory, discard a processed material or an item to end the encounter. Placate the behemoth's demeanor by 1. Gain 1 of this behemoth's curio."""
Outcome 817,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,92,v1.0.0,Added,outcomes-817,817,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The first test's ""1-11"" result should read: ""You only exhaust yourself. If all characters on the venture resolve this result, the venture fails unless a character spends <energy><energy> to attempt this test again."""
Outcome 838,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,94,v1.3.0,Updated,outcomes-838,838,applied,True,Replaced full entry text with errata text.,"This entry's mechanics text should read:
 ""If the doom mark enclosing the Tangle mark is on the primal cave wall, add 4<lore>. Otherwise, add Sample Foliage (GN04) and Study the Blight (GN05) to your goals."""
Outcome 841,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,95,v1.2.0,Added,outcomes-841,841,applied,True,Appended errata sentence/text.,"In option B), a ""Step 5"" should exist that reads: ""Step 5: Shuffle JW01-03 into the Journey deck, if able."""
Outcome 889,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,65,v1.1.0,Added,outcomes-889,889,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"On the first list, the following final step should exist:"
Outcome 889,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,100,v1.0.0,Added,outcomes-889,889,applied,True,Appended errata sentence/text.,"Under the Nature of the Beast Additions, the following final step should exist:
""H) If there is at least 1 Tangle hex in the valley, add Beneath the Canopy (CN01) to your looming challenges."""
Outcome 889,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,100,v1.2.0,Added,outcomes-889,889,applied,True,Appended errata sentence/text.,"Under the Nature of the Beast Additions, the following final step should exist:
""I) Add PV11 to the Fishing deck."""
Outcome 890,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,100,v1.3.0,Updated,outcomes-890,890,applied,True,Replaced full entry text with errata text.,"This outcome should read:
At the end of any day, you may end this challenge. Then, resolve the first you are able:
A) The message speaks of a rot beneath your very feet: If the doom mark enclosing the broken earth mark (i) is on the primal cave wall, add The Deep Rot (CN03) to your looming challenges.
B) The devout claim the world will end soon, choked in deathly white ash: If the doom mark enclosing the blaze mark (ii) is on the primal cave wall, add Searing Ash, Glinting Secrets (CY03) to your looming challenges.
C) The leader mutters about a great cosmic unity coming to the valley: Add A Time to Prepare (CC03) to your looming challenges."
Outcome 908,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,102,v1.2.0,Added,outcomes-908,908,applied,True,Prepended errata sentence/text.,"In option B), Step 3 should begin ""If it is Epoch 1 (or you are playing Endless Mode) and there are 1 or more unplaced glacier overlays, roll 1d6 and place glaciers as follows:""
In option B), a ""Step 4"" should exist that reads: ""Step 4: Shuffle JV01-06 into the Journey deck and NV01-03 into the Night deck, if able."""
Outcome 973,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,108,v1.2.0,Updated,outcomes-973,973,applied,True,Replaced first sentence.,"This entry's first sentence should read ""Randomly select an unplaced behemoth lair and place it inactive in a hex in your hex's terrain tray or an adjacent terrain tray."""
Cloud FP12,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,115,v1.0.1,Added,,,manual_review,False,No matching record found.,"The entry labelled ""FP06"" should instead be labelled ""FP12""."
Cloud FP12,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,115,v1.3.0,Added,,,manual_review,False,No matching record found.,"The ""A)"" and ""B)"" results should be swapped."
Cloud TT07,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,118,v1.0.0,Added,omens-cloud-tt07,TT07,applied,True,Appended errata sentence/text.,"At the end of this entry, a sentence should exist that reads:
""Add Sallow Leaves Fall (CN02) to your looming challenges if you haven't completed it."""
Comet FP07,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,121,v1.0.1,Added,,,manual_review,False,No matching record found.,"The entry labelled ""FP04"" should instead be labelled ""FP07""."
Comet VV09,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,122,v1.2.0,Added,omens-comet-vv09,VV09,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The section sentence should read ""Then, if you are resourceful, gain Lustrous Powder (IT65) as if you had just crafted it.""
FAQ: When you gain Lustrous Powder item this way, you place mystery tokens on it as if you had just crafted it."
Moon AC03,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,,v1.3.0,Added,omens-moon-ac03,AC03,created,True,Created missing Codex entry from errata.,"An entry should exist that reads:
The Rescuer drops a stick at your feet, then howls a mournful note to the moon before picking the stick back up and shaking it.
You may discard 1 food token to gain 1 wood."
Moon FF05,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,124,v1.0.0,Added,,,manual_review,False,No matching record found.,"The entry labelled ""FF08"" should instead be labelled ""FF05""."
Moon FP08,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,124,v1.0.1,Added,,,manual_review,False,No matching record found.,"The entry labelled ""FP10"" should instead be labelled ""FP08""."
Moon HX01a,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,125,v1.2.0,Added,omens-moon-hx01a,HX01a,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The 1-29 result should read ""Maybe some mysteries cannot be solved, but you can keep searching. Add Across the Ice (GA06) to your goals."""
Star FF07,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,,v1.3.0,Added,omens-star-ff07,FF07,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"FAQ
Q: Is there a star I'm missing on this card?
A: Nope! This entry was included in error. But since you found it by sheer luck (or you're poking around backstage looking for secrets), why don't you go ahead and take a glimpse into The Beyond (KN20)..."
Star KN20,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,131,v1.1.0,Added,omens-star-kn20,KN20,manual_review,False,Instruction requires manual review or source text could not be matched safely.,"The text entry should read ""Your society gains the All-Seer (MA00) mantle power."
Sun AC01,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,,v1.3.0,Added,omens-sun-ac01,AC01,created,True,Created missing Codex entry from errata.,"An entry should exist that reads:
Sunlight ripples through the Orrox's shaggy fur. It lows gently as you pat its side.
Gain <minor_boost> to <conviction>."
Sun AC06,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,,v1.3.0,Added,omens-sun-ac06,AC06,created,True,Created missing Codex entry from errata.,"An entry should exist that reads:
The Filch skitters through shadow and light, returning with a small object.
If your region has a Foraging deck, draw a card from that deck, choose one bonus object on that card if able, then gain the corresponding resource."
Sun FF02,Epoch Transitions	Overlay Reference	Special Regions	  Hex Key,134,v1.1.0,Updated,,,manual_review,False,No matching record found.,"The entry labelled ""FF07"" should instead be labelled ""FF02""."
