stable_key,section,subsection,page_start,page_end,source_id_or_name,original_text,corrected_text,errata_applied,errata_source,errata_version_or_date,change_summary,notes
outcomes-001,OUTCOMES,,4,4,001,"Your society has constructed a solid outpost that it can occupy seasonally, and has begun to form a culture around its particular location.
Over the years, this outpost becomes a thriving hold, with some occupants residing there all year.
Illustrate the saga of the steadfast dwellers on the primal cave wall,
including the hold mark (i) and the mark of one region where you
have an outpost (e.g. the Verdant Vale [ii] or Skyreach Plateau [iii]).
The full-time inhabitants of a your outposts can provide you with
additional assistance. Gain the Holds (KN10) Knowledge card.","Your society has constructed a solid outpost that it can occupy seasonally, and has begun to form a culture around its particular location.
Over the years, this outpost becomes a thriving hold, with some occupants residing there all year.
Illustrate the saga of the steadfast dwellers on the primal cave wall,
including the hold mark (i) and the mark of one region where you
have an outpost (e.g. the Verdant Vale [ii] or Skyreach Plateau [iii]).
The full-time inhabitants of a your outposts can provide you with
additional assistance. Gain the Holds (KN10) Knowledge card.",False,,,,
outcomes-002,OUTCOMES,,4,4,002,"Cold rays of sunlight linger on rattling leaves, but you have completed the outpost to shelter your people from the deep frosts. Uncertainty
remains your constant companion. When the moon shines bright overhead, something vast and inscrutable stalks toward the valley...
At the end of any day, you may end this challenge. When you do, add
.
As your people grow more accustomed to the valley, you have developed new skills for survival. Your society gains the following mantle powers:
Prey-Stalker (MA01), Secret-Finder (MA02), Friend-Guide (MA03), Safe-Keeper (MA04). Record these in the Mantle Powers section on the
Culture page of the Journal. At the start of each subsequent challenge, players will select one mantle power for each character based on their
mantle, as described in Mantle Powers on page 65 of the Rulebook.
Then, as a group, the players must choose one of the following paths for your society:
A) Counsel your people to focus on tangible improvements, not vague uncertainties:
Add
and add
. Illustrate the saga of the shining sun on the primal cave wall, including the
mark and the mark for a region where you built an outpost (e.g. the Verdant Vale [i] or Skyreach
Plateau [ii]). Add A Peaceful Season (CZ01) to your looming challenges. At the start of your next
challenge, add the following goals: Gather Stores (GA03), Seek the Omens (GA07), Stoke the Flame (GA08), A Trail of Mysteries (GA11).
B) Rally your people to meet the mysterious threat head-on: Illustrate the saga of the moonlit vigil on the primal cave wall, including the
mark
and the mark for a region where you built an outpost (e.g. the Verdant Vale [i] or Skyreach Plateau [ii]). Add Arrival (CA04) to your looming
challenges. At the start of your next challenge, add the following goals: Gather Stores (GA03), Seek the Omens (GA07), Stoke the Flame (GA08).","Cold rays of sunlight linger on rattling leaves, but you have completed the outpost to shelter your people from the deep frosts. Uncertainty
remains your constant companion. When the moon shines bright overhead, something vast and inscrutable stalks toward the valley...
At the end of any day, you may end this challenge. When you do, add
.
As your people grow more accustomed to the valley, you have developed new skills for survival. Your society gains the following mantle powers:
Prey-Stalker (MA01), Secret-Finder (MA02), Friend-Guide (MA03), Safe-Keeper (MA04). Record these in the Mantle Powers section on the
Culture page of the Journal. At the start of each subsequent challenge, players will select one mantle power for each character based on their
mantle, as described in Mantle Powers on page 65 of the Rulebook.
Then, as a group, the players must choose one of the following paths for your society:
A) Counsel your people to focus on tangible improvements, not vague uncertainties:
Add
and add
. Illustrate the saga of the shining sun on the primal cave wall, including the
mark and the mark for a region where you built an outpost (e.g. the Verdant Vale [i] or Skyreach
Plateau [ii]). Add A Peaceful Season (CZ01) to your looming challenges. At the start of your next
challenge, add the following goals: Gather Stores (GA03), Seek the Omens (GA07), Stoke the Flame (GA08), A Trail of Mysteries (GA11).
B) Rally your people to meet the mysterious threat head-on: Illustrate the saga of the moonlit vigil on the primal cave wall, including the
mark
and the mark for a region where you built an outpost (e.g. the Verdant Vale [i] or Skyreach Plateau [ii]). Add Arrival (CA04) to your looming
challenges. At the start of your next challenge, add the following goals: Gather Stores (GA03), Seek the Omens (GA07), Stoke the Flame (GA08).",False,,,,
outcomes-003,OUTCOMES,,4,4,003,"You see patterns in the cycles of season and age...
Look at the top three cards of the Event deck (beneath this one). You may put any number of them on the bottom, shuffle the Event deck,
then place the rest on top of the deck (beneath this card) in any order.","You see patterns in the cycles of season and age...
Look at the top three cards of the Event deck (beneath this one). You may put any number of them on the bottom, shuffle the Event deck,
then place the rest on top of the deck (beneath this card) in any order.",False,,,,
outcomes-006,OUTCOMES,,4,5,006,"Sliding past the deadly antlers, you vault onto the behemoth's head. Atop its bony brow, you stare into the amber pits of its eyes...
Choose one of the following and resolve it:
A) Match your will with the behemoth: Contest
versus the behemoth's
. Add +2 if you are indomitable and +4 if you have another
behemoth's mark.
Win: You overcome the behemoth. Aggravate the behemoth's demeanor by 1. It flees.
Lose: You feel your life-force draining away. Check 1 age box on your Character card. Add this behemoth's to the Legend side of your
Character card.
B) Seek the behemoth's truth: Contest
versus the behemoth's
. Add +2 if you are attuned and +4 if you have this behemoth's mark.
Win: You see the cycles of life and death spin eternally, the moon chasing the sun across seasons and eons. Discard all your
. The behemoth
flees. Placate its demeanor by 3.
i
ii
iii
i
ii

Lose: You gaze into the eye of eternity and are overwhelmed. Check 1 age box on your Character card. Add this behemoth's mark to the
Legend side of your Character card. Gain the attuned trait.
Then end the encounter.","Sliding past the deadly antlers, you vault onto the behemoth's head. Atop its bony brow, you stare into the amber pits of its eyes...
Choose one of the following and resolve it:
A) Match your will with the behemoth: Contest
versus the behemoth's
. Add +2 if you are indomitable and +4 if you have another
behemoth's mark.
Win: You overcome the behemoth. Aggravate the behemoth's demeanor by 1. It flees.
Lose: You feel your life-force draining away. Check 1 age box on your Character card. Add this behemoth's to the Legend side of your
Character card.
B) Seek the behemoth's truth: Contest
versus the behemoth's
. Add +2 if you are attuned and +4 if you have this behemoth's mark.
Win: You see the cycles of life and death spin eternally, the moon chasing the sun across seasons and eons. Discard all your
. The behemoth
flees. Placate its demeanor by 3.
i
ii
iii
i
ii

Lose: You gaze into the eye of eternity and are overwhelmed. Check 1 age box on your Character card. Add this behemoth's mark to the
Legend side of your Character card. Gain the attuned trait.
Then end the encounter.",False,,,,
outcomes-009,OUTCOMES,,5,5,009,"You drop past the shattered stones and roll to a spot beneath the behemoth, praying that you are too close for its senses. For several minutes
the creature rumbles past while you crouch, hands over your head. As you stare into the dirt, you see an object embedded there, and once
the behemoth has passed, you pry it loose.
End the encounter. Gain 1 of the behemoth's curio.","You drop past the shattered stones and roll to a spot beneath the behemoth, praying that you are too close for its senses. For several minutes
the creature rumbles past while you crouch, hands over your head. As you stare into the dirt, you see an object embedded there, and once
the behemoth has passed, you pry it loose.
End the encounter. Gain 1 of the behemoth's curio.",False,,,,
outcomes-011,OUTCOMES,,5,5,011,"The inscrutable, furry behemoth's shell seems to be invulnerable, and frosts swirl about its tread. Yet even such a colossus might have
a secret. By observing its behaviors, you have come to believe that it is not so unstoppable as you first believed.
Resolve the first you are able:
A) Observing the great herald of the cycle gives you new insights into its nature: If the behemoth has an unrevealed Secret card assigned
to it, reveal this behemoth's currently assigned Secret card, then record it under the Secrets for that behemoth in the Journal.
B) You know from your stories that the ponderous orb moves across the landscape, leaving crystalline pools in places of interest:
Gain 1 of this behemoth's curio.","The inscrutable, furry behemoth's shell seems to be invulnerable, and frosts swirl about its tread. Yet even such a colossus might have
a secret. By observing its behaviors, you have come to believe that it is not so unstoppable as you first believed.
Resolve the first you are able:
A) Observing the great herald of the cycle gives you new insights into its nature: If the behemoth has an unrevealed Secret card assigned
to it, reveal this behemoth's currently assigned Secret card, then record it under the Secrets for that behemoth in the Journal.
B) You know from your stories that the ponderous orb moves across the landscape, leaving crystalline pools in places of interest:
Gain 1 of this behemoth's curio.",False,,,,
outcomes-012,OUTCOMES,,5,5,012,"You take your first small step onto a strange, beautiful landscape...
Illustrate the saga of the distant steps on the primal cave wall, including the
discovery mark (i), the starlit sea mark (ii), and the underworld mark (iii).","You take your first small step onto a strange, beautiful landscape...
Illustrate the saga of the distant steps on the primal cave wall, including the
discovery mark (i), the starlit sea mark (ii), and the underworld mark (iii).",False,,,,
outcomes-015,OUTCOMES,,5,5,015,"Holding on to the fur at the behemoth's great chin, you present a great offering to it. You hope its mood is receptive and its generosity
equivalent to your own...
Choose one and resolve it:
A) You put forth a sizeable tribute: If the behemoth's demeanor is 4 or lower and you have at least 3 materials in your inventory, discard three
materials. Placate the behemoth's demeanor by 1. Then, if all three materials you discarded correspond to a current omen (as listed below),
gain 1 of the behemoth's curio.
: Mineral materials
: Small materials
: Animal minerals
: Large materials
: Plant materials
B) Offer a placating tribute: If the behemoth's demeanor is 5 or higher and you have at least 3 materials in your inventory, discard three
materials. If you do, placate the behemoth's demeanor by 2.
C) Offer nothing, risking the behemoth's wrath: Aggravate the behemoth's demeanor by 1. Then, if its demeanor is 5 or higher, suffer
and flee.
Then, end the encounter.
i
ii
iii","Holding on to the fur at the behemoth's great chin, you present a great offering to it. You hope its mood is receptive and its generosity
equivalent to your own...
Choose one and resolve it:
A) You put forth a sizeable tribute: If the behemoth's demeanor is 4 or lower and you have at least 3 materials in your inventory, discard three
materials. Placate the behemoth's demeanor by 1. Then, if all three materials you discarded correspond to a current omen (as listed below),
gain 1 of the behemoth's curio.
: Mineral materials
: Small materials
: Animal minerals
: Large materials
: Plant materials
B) Offer a placating tribute: If the behemoth's demeanor is 5 or higher and you have at least 3 materials in your inventory, discard three
materials. If you do, placate the behemoth's demeanor by 2.
C) Offer nothing, risking the behemoth's wrath: Aggravate the behemoth's demeanor by 1. Then, if its demeanor is 5 or higher, suffer
and flee.
Then, end the encounter.
i
ii
iii",False,,,,
outcomes-016,OUTCOMES,,6,6,016,"The walking spire's tread grinds forests to dust, yet you have seen something that it seems to fear, something that makes you wonder.
What heart beats beneath its stony skin?
Resolve the first you are able:
A) Your observation reveals something about this great creature: If the behemoth has an unrevealed Secret card assigned to it, reveal this
behemoth's currently assigned Secret card, then record it under the Secrets for that behemoth in the Journal.
B) You know from your sagas that the behemoth leaves great broken tracts of earth, in which you can easily harvest stones: Gain 2 of the
behemoth's curio.","The walking spire's tread grinds forests to dust, yet you have seen something that it seems to fear, something that makes you wonder.
What heart beats beneath its stony skin?
Resolve the first you are able:
A) Your observation reveals something about this great creature: If the behemoth has an unrevealed Secret card assigned to it, reveal this
behemoth's currently assigned Secret card, then record it under the Secrets for that behemoth in the Journal.
B) You know from your sagas that the behemoth leaves great broken tracts of earth, in which you can easily harvest stones: Gain 2 of the
behemoth's curio.",False,,,,
outcomes-017,OUTCOMES,,6,6,017,"As you stand atop the behemoth's head, a shadow falls over you. You spin instinctively to see the behemoth's massive hand blotting out the
sky. It descends with a rush of air, and darkness overtakes you.
Suffer
. If this fills your character's health track, they perish. If your character didn't perish, place your character in a randomly
selected adjacent hex as the behemoth hurls you away.","As you stand atop the behemoth's head, a shadow falls over you. You spin instinctively to see the behemoth's massive hand blotting out the
sky. It descends with a rush of air, and darkness overtakes you.
Suffer
. If this fills your character's health track, they perish. If your character didn't perish, place your character in a randomly
selected adjacent hex as the behemoth hurls you away.",False,,,,Manual review needed for Outcome 017: Instruction requires manual review or source text could not be matched safely.
